Title,Model,Manufacturer,Price,Rating Score,Ratings
        Hurley Men's Icon Slash Gradient T-shirt       ,AR8825,Hurley Men's,19.14,4.5,2677
"        Amazon Essentials Men's Crewneck Undershirt, Pack of 6       ",S17AE80000,Amazon Essentials,18.68,4.4,33507
        Hanes Men’s Perfect-T Long Sleeve T-shirt (2-pack)       ,O498L,Hanes Men's Athletic Child Code,16.0,4.4,7477
        Marvel Men's Amazing Spider-Man T-Shirt       ,MVFC032MSC3P1XX,"Mad Engine, Inc.",15.4,4.8,1149
        Under Armour Men's Heatgear Tactical V-neck Compression Short-sleeve T-shirt       ,1351596,No,20.8,4.5,3188
        Under Armour Men's New Freedom Logo T-Shirt       ,1370811,Under Armour,25.95,4.6,779
        Lacoste Men's Essentials 3 Pack 100% Cotton Slim Fit V-Neck T-Shirts       ,TH3444-51,Lacoste,39.98,4.3,1841
        Buffalo David Bitton Men's Short Sleeve Kasum Henley       ,BM21411,Buffalo David Bitton,22.39,4.2,287
        Cutter & Buck Men's Big & Tall Polo Shirt       ,BCK00117,Cutter & Buck,30.42,4.7,65
        Cutter & Buck Men's Big & Tall Short-Sleeve Shirt       ,BCW01797,Cutter & Buck Mens Collections,58.25,4.2,170
        Kanu Surf Men's UPF 50+ Long Sleeve Rashguard Swim Shirt       ,8877,Kanu Surf Men's Swimwear,24.99,4.5,1432
        Lacoste Men's Essentials 3 Pack 100% Cotton Regular Fit V-Neck T-Shirts       ,TH3374-51,Lacoste,29.26,4.1,1996
        Under Armour Men's Rival Fleece Crew Sweatshirt       ,1357096,Under Armour,24.39,4.6,1646
        Disney Lion King Men's T-Shirt       ,VJSN578-27,Freeze Young Men's,12.99,4.7,398
        Hurley Men's One and Only Hybrid Long Sleeve T-Shirt       ,MAT0000470,Hurley,33.98,4.6,367
        STAR WARS Men's Boba Fett Floral Button Down Shirt       ,STRW2284-10026020,Star Wars,34.98,4.7,269
        Dickies Men's Short Sleeve Heavyweight Crew Neck       ,WS480 Big-Tall,Dickies,14.99,4.4,2478
        Gildan mens 100% Polyester Moisture Wicking Performance T-shirt       ,G420,Gildan Men's Activewear,46.78,4.5,1107
        Dickies Men's Short Sleeve Pocket Tee Big-tall       ,WS436AGBig-Tall,Dickies Men's Sportswear,14.99,4.5,11868
        Under Armour Men's Training Vent 2.0 Short-Sleeve T-Shirt       ,1361426,Under Armour Apparel,16.75,4.5,1006
        Under Armour Men's Tech 2.0 5c Short Sleeve T-Shirt       ,1366140,Under Armour Apparel,15.97,4.5,1060
        STAR WARS Men's T-Shirt       ,STMD0012-10001004,Star Wars,16.49,4.7,57
